Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
4821,1:45.44,,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,,Bellinzona (SUI),2017-07-18,1160,2017,105.44
4821,1:45.44,,Elliot GILES,26 MAY 1994,GBR,5,,"Alexander Stadium, Birmingham (GBR)",2017-08-20,1160,2017,105.44
4821,1:45.44,,Álvaro DE ARRIBA,02 JUN 1994,ESP,1h1,,"Arena Birmingham, Birmingham (GBR) (i)",2018-03-02,1218,2018,105.44
4821,1:45.44,,Abdelati EL GUESSE,27 FEB 1993,MAR,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2021-06-27,1160,2021,105.44
4821,1:45.44,,Ben PATTISON,15 DEC 2001,GBR,1f1,,"Birmingham University Athletics Track, Birmingham (GBR)",2022-05-14,1160,2022,105.44
4821,1:45.44,,Djamel SEDJATI,03 MAY 1999,ALG,1sf2,,"Hayward Field, Eugene, OR (USA)",2022-07-21,1160,2022,105.44
4821,1:45.44,,Oussama NABIL,18 FEB 1996,MAR,2f1,,"Stade Raymond Troussier, Decines (FRA)",2023-07-08,1160,2023,105.44
4821,1:45.44,,Paul ANSELMINI,02 AUG 2003,FRA,4f1,,"Stade Raymond Troussier, Decines (FRA)",2024-05-04,1160,2024,105.44
4867,1:45.45,,Andreas BUSSE,06 MAY 1959,GDR,1,,Ostrava (TCH),1978-06-07,1160,1978,105.45
4867,1:45.45,,James MAINA BOI,04 APR 1954,KEN,2,,Brisbane (AUS),1982-10-07,1160,1982,105.45
4867,1:45.45,,Hans-Peter FERNER,06 JUN 1956,FRG,4,,Lausanne (SUI),1984-07-10,1160,1984,105.45
4867,1:45.45,,Ousmane DIARRA,10 FEB 1964,SEN,1,,Caorle (ITA),1990-07-15,1160,1990,105.45
4867,1:45.45,,David KIPTOO SINGOEI,25 JUN 1965,KEN,3,,"Eugene, OR (USA)",1996-05-26,1160,1996,105.45
4867,1:45.45,,Peter Kipkorir BIWOTT,22 AUG 1976,KEN,1,,Zagreb (CRO),1996-06-21,1160,1996,105.45
4867,1:45.45,,Benson KOECH,10 NOV 1974,KEN,4,,Nairobi (KEN),1996-06-29,1160,1996,105.45
4867,1:45.45,,David MATTHEWS,09 APR 1974,IRL,4,,Lappeenranta (FIN),1996-07-14,1160,1996,105.45
4867,1:45.45,,Benyounés LAHLOU,03 NOV 1964,MAR,5,,"FBK Stadium, Hengelo (NED)",1997-05-31,1160,1997,105.45
4867,1:45.45,,Peter Kipkorir BIWOTT,22 AUG 1976,KEN,2,,Praha (CZE),1997-06-10,1160,1997,105.45
4867,1:45.45,,Vincent MALAKWEN,19 JUL 1974,KEN,3,,Bratislava (SVK),1997-06-10,1160,1997,105.45
4867,1:45.45,,Philip KIBITOK,23 MAR 1971,KEN,4,,Hechtel (BEL),1997-07-19,1160,1997,105.45
4867,1:45.45,,Shaun FARRELL,05 MAR 1975,NZL,1,,Sydney (AUS),1998-02-28,1160,1998,105.45
4867,1:45.45,,Joel MARWA,30 AUG 1974,KEN,1,,Leiden (NED),1998-06-13,1160,1998,105.45
4867,1:45.45,,Joel MARWA,30 AUG 1974,KEN,2,,Leverkusen (GER),1998-08-09,1160,1998,105.45
4867,1:45.45,,Nico MOTCHEBON,13 NOV 1969,GER,8f1,,Zürich (SUI),1998-08-12,1160,1998,105.45
4867,1:45.45,,Johan BOTHA,10 JAN 1974,RSA,1,,Stuttgart (GER) (i),1999-02-07,1217,1999,105.45
4867,1:45.45,,Arthémon HATUNGIMANA,21 JAN 1974,BDI,5,,San Sebastián (ESP),2002-08-20,1160,2002,105.45
4867,1:45.45,,Rizak DIRSHE,05 JAN 1972,SWE,2,,Cuxhaven (GER),2003-07-19,1160,2003,105.45
4867,1:45.45,,Florent LACASSE,21 JAN 1981,FRA,6,,Rieti (ITA),2003-09-07,1160,2003,105.45
4867,1:45.45,,Florent LACASSE,21 JAN 1981,FRA,5,,Bergen (NOR),2004-06-11,1160,2004,105.45
4867,1:45.45,,Ismail Ahmed ISMAIL,10 SEP 1984,SUD,6sf3,,"Olympic Stadium, Athina (GRE)",2004-08-26,1160,2004,105.45
4867,1:45.45,,Ismail Ahmed ISMAIL,10 SEP 1984,SUD,9,,Rieti (ITA),2004-09-05,1160,2004,105.45
4867,1:45.45,,Gary REED,25 OCT 1981,CAN,4,,Helsinki (FIN),2005-07-25,1160,2005,105.45
4867,1:45.45,,William YIAMPOY,17 MAY 1974,KEN,4,,"Boudewijnstadion, Bruxelles (BEL)",2005-08-26,1160,2005,105.45
4867,1:45.45,,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1,,Naimette-Xhovémont (BEL),2006-07-19,1160,2006,105.45
4867,1:45.45,,Salem Amer AL BADRI,12 DEC 1985,QAT,7,,Heusden-Zolder (BEL),2006-07-22,1160,2006,105.45
4867,1:45.45,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,Tula (RUS),2007-08-01,1160,2007,105.45
4867,1:45.45,,Khadevis ROBINSON,19 JUL 1976,USA,4sf1,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-31,1160,2007,105.45
4867,1:45.45,,Abraham CHEPKIRWOK,18 NOV 1988,UGA,5,,"Bislett Stadion, Oslo (NOR)",2008-06-06,1160,2008,105.45
4867,1:45.45,,Sadjad MORADI,30 MAR 1983,IRI,1,,Guangzhou (CHN),2010-11-25,1160,2010,105.45
4867,1:45.45,,Job KINYOR,08 MAY 1990,KEN,1f1,,Metz (FRA),2011-06-27,1160,2011,105.45
4867,1:45.45,,Jackson Mumbwa KIVUVA,11 AUG 1989,KEN,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2011-06-30,1160,2011,105.45
4867,1:45.45,,Brian GAGNON,08 MAY 1987,USA,5sf1,,"Drake Stadium, Des Moines, IA (USA)",2013-06-21,1160,2013,105.45
4867,1:45.45,,Felix KITUR,17 APR 1987,KEN,2f1,,Ninove (BEL),2013-07-27,1160,2013,105.45
4867,1:45.45,,Brandon JOHNSON,02 MAR 1985,USA,1f2,,"Boudewijnstadion, Bruxelles (BEL)",2013-09-06,1160,2013,105.45
4867,1:45.45,,Alfred KIPKETER,28 DEC 1996,KEN,1,,"National Stadium, Beijing (CHN)",2015-05-20,1160,2015,105.45
4867,1:45.45,,Amel TUKA,09 JAN 1991,BIH,3,,"Boudewijnstadion, Bruxelles (BEL)",2015-09-11,1160,2015,105.45
4867,1:45.45,,Adam KSZCZOT,02 SEP 1989,POL,6,,"Shanghai Stadium, Shanghai (CHN)",2017-05-13,1160,2017,105.45
4867,1:45.45,,Kyle LANGFORD,02 FEB 1996,GBR,8,,"Olympic Stadium, London (GBR)",2017-07-09,1160,2017,105.45
4867,1:45.45,,Noah KIBET,12 APR 2004,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2021-07-03,1160,2021,105.45
4867,1:45.45,,Bryce HOPPEL,05 SEP 1997,USA,5,,"International Stadium, Gateshead (GBR)",2021-07-13,1160,2021,105.45
4867,1:45.45,,Catalin TECUCEANU,09 SEP 1999,ROU,7,,"Stadion Śląski, Chorzów (POL)",2021-09-05,1160,2021,105.45
4867,1:45.45,,Ben PATTISON,15 DEC 2001,GBR,1f2,,"Bungertstadion, Rehlingen (GER)",2023-05-28,1160,2023,105.45
4867,1:45.45,,Tshepo TSHITE,15 JAN 1997,RSA,6,,"Paavo Nurmen Stadion, Turku (FIN)",2023-06-13,1160,2023,105.45
4867,1:45.45,,Abdelati EL GUESSE,27 FEB 1993,MAR,4sf2,,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-02,1217,2024,105.45
4867,1:45.45,,Luke BOYES,05 NOV 2003,AUS,1f1,,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",2024-03-28,1160,2024,105.45
4867,1:45.45,,Oussama CHERRAD,06 MAR 2000,ALG,5f1,,"Stade Raymond Troussier, Decines (FRA)",2024-05-04,1160,2024,105.45
4867,1:45.45,,Bartosz KITLIŃSKI,11 JUN 2004,POL,5,,"Stadion Śląski, Chorzów (POL)",2024-05-18,1160,2024,105.45
4867,1:45.45,,Paul ANSELMINI,02 AUG 2003,FRA,5,,"Stade Raymond Petit, Tomblaine (FRA)",2024-05-25,1160,2024,105.45
4867,1:45.45,,General Berhanu AYANSA,2005,ETH,1,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2024-06-14,1160,2024,105.45
4918,1:45.46,,Tom FARRELL,18 JAN 1944,USA,3,,"Estadio Olímpico, Ciudad de México (MEX)",1968-10-15,1159,1968,105.46000000000001
4918,1:45.46,,Willi WÜLBECK,18 DEC 1954,FRG,3,,Köln (GER),1977-06-22,1159,1977,105.46000000000001
4918,1:45.46,,Detlef WAGENKNECHT,03 JAN 1959,GDR,1,,Cottbus (GER),1982-06-26,1159,1982,105.46000000000001
4918,1:45.46,,Detlef WAGENKNECHT,03 JAN 1959,GDR,1,,Berlin (GER),1983-06-03,1159,1983,105.46000000000001
4918,1:45.46,,Agberto Conceiço GUIMARĂES,18 AUG 1957,BRA,6,,"Olympiastadion, Helsinki (FIN)",1983-08-09,1159,1983,105.46000000000001
4918,1:45.46,,Detlef WAGENKNECHT,03 JAN 1959,GDR,1,,Dresden (GER),1984-05-19,1159,1984,105.46000000000001
4918,1:45.46,,William WUYCKE,21 MAY 1958,VEN,2,,Vught (NED),1986-08-03,1159,1986,105.46000000000001
4918,1:45.46,,Gert KILBERT,21 SEP 1965,SUI,7f1,,"Letzigrund, Zürich (SUI)",1987-08-19,1159,1987,105.46000000000001
4918,1:45.46,,Robert KIBET,15 DEC 1965,KEN,3,,La Coruña (ESP),1989-07-25,1159,1989,105.46000000000001
4918,1:45.46,,Wilson KIPKETER,12 DEC 1972,KEN,1,,Lappeenranta (FIN),1993-07-27,1159,1993,105.46000000000001
4918,1:45.46,,Fermín CACHO,16 FEB 1969,ESP,8,,"Stade Louis II, Monaco (MON)",1993-08-07,1159,1993,105.46000000000001
4918,1:45.46,,Hezekiel SEPENG,30 JUN 1974,RSA,3sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-15,1159,1993,105.46000000000001
4918,1:45.46,,El-Mahjoub HAIDA,01 JUL 1970,MAR,2,,Rhede (GER),1996-05-24,1159,1996,105.46000000000001
4918,1:45.46,,Sammy Kibet LANGAT,24 JAN 1970,KEN,1,,Parma (ITA),1996-06-17,1159,1996,105.46000000000001
4918,1:45.46,,Philip KIBITOK,23 MAR 1971,KEN,3,,Milano (ITA),1996-09-07,1159,1996,105.46000000000001
4918,1:45.46,,Benson KOECH,10 NOV 1974,KEN,6f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",1997-07-02,1159,1997,105.46000000000001
4918,1:45.46,,David MATTHEWS,09 APR 1974,IRL,6,,Rieti (ITA),1997-09-03,1159,1997,105.46000000000001
4918,1:45.46,,Norberto TÉLLEZ,23 DEC 1972,CUB,1,,Lisboa (POR),1998-06-20,1159,1998,105.46000000000001
4918,1:45.46,,James MCILROY,30 DEC 1976,IRL,4,,"Népstadion, Budapest (HUN)",1998-08-23,1159,1998,105.46000000000001
4918,1:45.46,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3,,Stockholm (SWE),2001-07-17,1159,2001,105.46000000000001
4918,1:45.46,,Hezekiel SEPENG,30 JUN 1974,RSA,1,,Cape Town (RSA),2002-04-19,1159,2002,105.46000000000001
4918,1:45.46,,Dmitriy BOGDANOV,11 APR 1979,RUS,8,,Ostrava (CZE),2003-06-12,1159,2003,105.46000000000001
4918,1:45.46,,Bryan WOODWARD,03 MAR 1974,USA,1,,Budapest (HUN),2003-08-08,1159,2003,105.46000000000001
4918,1:45.46,,Arthémon HATUNGIMANA,21 JAN 1974,BDI,5,,Heusden-Zolder (BEL),2004-07-31,1159,2004,105.46000000000001
4918,1:45.46,,Dmitrijs MIĻKEVIČS,06 DEC 1981,LAT,7f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,1159,2006,105.46000000000001
4918,1:45.46,,Wilfred BUNGEI,24 JUL 1980,KEN,2,,"FBK Stadium, Hengelo (NED)",2007-05-26,1159,2007,105.46000000000001
4918,1:45.46,,Gary REED,25 OCT 1981,CAN,4,,"Eugene, OR (USA)",2007-06-10,1159,2007,105.46000000000001
4918,1:45.46,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,6,,"Boudewijnstadion, Bruxelles (BEL)",2007-09-14,1159,2007,105.46000000000001
4918,1:45.46,,Alfred Kirwa YEGO,28 NOV 1986,KEN,3,,"Icahn Stadium, New York, NY (USA)",2010-06-12,1159,2010,105.46000000000001
4918,1:45.46,,Belal Mansoor ALI,17 OCT 1988,BRN,8,,"Stade Louis II, Monaco (MON)",2010-07-22,1159,2010,105.46000000000001
4918,1:45.46,,Amine EL MANAOUI,20 NOV 1991,MAR,4,,Milano (ITA),2011-09-18,1159,2011,105.46000000000001
4918,1:45.46,,Jakub HOLUŠA,20 FEB 1988,CZE,6,,"Stadio Olimpico, Roma (ITA)",2012-05-31,1159,2012,105.46000000000001
4918,1:45.46,,Michael RIMMER,03 FEB 1986,GBR,8,,"Olympic Stadium, London (GBR)",2013-07-26,1159,2013,105.46000000000001
4918,1:45.46,,Marcin LEWANDOWSKI,13 JUN 1987,POL,1,,"FBK Stadium, Hengelo (NED)",2015-05-24,1159,2015,105.46000000000001
4918,1:45.46,,Abdelati EL GUESSE,27 FEB 1993,MAR,2f1,,Oordegem (BEL),2017-05-27,1159,2017,105.46000000000001
4918,1:45.46,,Elliot GILES,26 MAY 1994,GBR,2h1,,"Arena Birmingham, Birmingham (GBR) (i)",2018-03-02,1217,2018,105.46000000000001
4918,1:45.46,,Elliot GILES,26 MAY 1994,GBR,2f1,,"Sollentunavallen, Sollentuna (SWE)",2020-08-10,1159,2020,105.46000000000001
4918,1:45.46,,Emmanuel Kipkurui KORIR,15 JUN 1995,KEN,1h1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2021-06-17,1159,2021,105.46000000000001
4918,1:45.46,,Elliot GILES,26 MAY 1994,GBR,4,,"Hayward Field, Eugene, OR (USA)",2021-08-21,1159,2021,105.46000000000001
4918,1:45.46,,Riadh CHNINNI,15 MAR 1997,TUN,5,,"Stade Complexe Olympique, Oran (ALG)",2022-07-03,1159,2022,105.46000000000001
4918,1:45.46,,Wes FERGUSON,05 MAR 2001,USA,1,,"CSU - Neta and Eddie DeRose Thunderbowl, Pueblo, CO (USA)",2023-05-27,1159,2023,105.46000000000001
4918,1:45.46,,Nicholas Kiplangat KEBENEI,07 JUN 1995,KEN,2,,"Nyayo National Stadium, Nairobi (KEN)",2024-05-22,1159,2024,105.46000000000001
4918,1:45.46,,Thomas RANDOLPH,07 FEB 1999,GBR,2f1,,"Boudewijnstadion, Bruxelles (BEL)",2024-05-25,1159,2024,105.46000000000001
4961,1:45.47,,Willi WÜLBECK,18 DEC 1954,FRG,3,,"Rheinstadion, Düsseldorf (GER)",1977-09-02,1159,1977,105.47
4961,1:45.47,,James ROBINSON,27 AUG 1954,USA,1,,"Westwood, CA (USA)",1978-06-10,1159,1978,105.47
4961,1:45.47,,James ROBINSON,27 AUG 1954,USA,2,,Köln (GER),1980-08-10,1159,1980,105.47
4961,1:45.47,,Joel N'GETICH,02 JUN 1955,KEN,2,,Lausanne (SUI),1981-07-14,1159,1981,105.47
4961,1:45.47,,Stanley REDWINE,10 APR 1961,USA,2,,San José (USA),1987-06-27,1159,1987,105.47
4961,1:45.47,,Mike OKOT,25 DEC 1958,UGA,5,,Kvarnsveden (SWE),1988-06-19,1159,1988,105.47
4961,1:45.47,,Ocky CLARK,14 NOV 1960,USA,5,,"Indianapolis, IN (USA)",1988-07-15,1159,1988,105.47
4961,1:45.47,,Dieudonné KWIZERA,06 JUN 1967,BDI,5,,Nice (FRA),1989-07-10,1159,1989,105.47
4961,1:45.47,,Brian WHITTLE,26 APR 1964,GBR,6,,London (GBR),1990-07-20,1159,1990,105.47
4961,1:45.47,,Markus TRINKLER,11 DEC 1962,SUI,1,,Küssnacht (SUI),1990-08-19,1159,1990,105.47
4961,1:45.47,,Atle DOUGLAS,09 JUN 1968,NOR,6f1,,Oslo (NOR),1996-07-05,1159,1996,105.47
4961,1:45.47,,Gert-Jan LIEFERS,26 SEP 1978,NED,2,,Leiden (NED),1998-06-13,1159,1998,105.47
4961,1:45.47,,Johnny GRAY,19 JUN 1960,USA,2,,"New Orleans, LA (USA)",1998-06-21,1159,1998,105.47
4961,1:45.47,,Johan BOTHA,10 JAN 1974,RSA,1,,"Green Dome, Maebashi (JPN) (i)",1999-03-07,1217,1999,105.47
4961,1:45.47,,André BUCHER,19 OCT 1976,SUI,3,,"FBK Stadium, Hengelo (NED)",1999-05-30,1159,1999,105.47
4961,1:45.47,,Bram SOM,20 FEB 1980,NED,1,,Papendal (NED),2001-07-04,1159,2001,105.47
4961,1:45.47,,Joseph Mwengi MUTUA,10 DEC 1978,KEN,2,,"Schleyer Halle, Stuttgart (GER) (i)",2003-02-02,1217,2003,105.47
4961,1:45.47,,Djabir SAID-GUERNI,29 MAR 1977,ALG,3,,Torino (ITA),2003-06-06,1159,2003,105.47
4961,1:45.47,,Japheth KIMUTAI,20 DEC 1978,KEN,3,,Rehlingen (GER),2003-06-09,1159,2003,105.47
4961,1:45.47,,Wilfred BUNGEI,24 JUL 1980,KEN,2,,Doha (QAT),2004-05-14,1159,2004,105.47
4961,1:45.47,,Samwel MWERA,03 JUN 1985,TAN,5,,Rovereto (ITA),2004-09-08,1159,2004,105.47
4961,1:45.47,,Dmitriy BOGDANOV,11 APR 1979,RUS,2,,Rovereto (ITA),2005-08-31,1159,2005,105.47
4961,1:45.47,,William YIAMPOY,17 MAY 1974,KEN,3,,Shanghai (CHN),2005-09-17,1159,2005,105.47
4961,1:45.47,,Michael RIMMER,03 FEB 1986,GBR,2,,Watford (GBR),2006-06-10,1159,2006,105.47
4961,1:45.47,,Achraf TADILI,08 JUL 1980,CAN,5,,Helsinki (FIN),2006-07-26,1159,2006,105.47
4961,1:45.47,,Jonathan JOHNSON,05 MAR 1982,USA,2,,Lignano (ITA),2007-07-15,1159,2007,105.47
4961,1:45.47,,Kléberson DAVIDE,20 JUL 1985,BRA,2,,Rio de Janeiro (BRA),2007-07-28,1159,2007,105.47
4961,1:45.47,,Christian SMITH,31 OCT 1983,USA,3,,"Eugene, OR (USA)",2008-06-30,1159,2008,105.47
4961,1:45.47,,Jackson Mumbwa KIVUVA,11 AUG 1989,KEN,3,,"Nyayo National Stadium, Nairobi (KEN)",2010-07-30,1159,2010,105.47
4961,1:45.47,,Marcin LEWANDOWSKI,13 JUN 1987,POL,3,,"FBK Stadium, Hengelo (NED)",2011-05-29,1159,2011,105.47
4961,1:45.47,,Ivan TUKHTACHEV,12 JUL 1989,RUS,3,,"Meteor, Zhukovskiy (RUS)",2011-07-03,1159,2011,105.47
4961,1:45.47,,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,,"Alexander Stadium, Birmingham (GBR)",2011-07-10,1159,2011,105.47
4961,1:45.47,,Nicholas Kiplangat KIPKOECH,22 OCT 1992,KEN,5,,Milano (ITA),2011-09-18,1159,2011,105.47
4961,1:45.47,,Elijah GREER,24 OCT 1990,USA,6,,Lignano Sabbiadoro (ITA),2012-07-17,1159,2012,105.47
4961,1:45.47,,Kléberson DAVIDE,20 JUL 1985,BRA,1f1,,São Paulo (BRA),2013-04-07,1159,2013,105.47
4961,1:45.47,,Job KINYOR,08 MAY 1990,KEN,4,,"Hayward Field, Eugene, OR (USA)",2013-06-01,1159,2013,105.47
4961,1:45.47,,Samir JAMMA,09 FEB 1990,MAR,2,,Mersin (TUR),2013-06-29,1159,2013,105.47
4961,1:45.47,,Cornelius KIPLANGAT,21 DEC 1992,KEN,5,,Nairobi (KEN),2013-07-13,1159,2013,105.47
4961,1:45.47,,Michael RIMMER,03 FEB 1986,GBR,3h5,,"Luzhniki Stadion, Moskva (RUS)",2013-08-10,1159,2013,105.47
4961,1:45.47,,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,1,,Reims (FRA),2014-07-13,1159,2014,105.47
4961,1:45.47,,Michael RUTT,28 OCT 1987,USA,3sf1,,"Hayward Field, Eugene, OR (USA)",2015-06-26,1159,2015,105.47
4961,1:45.47,,Duane SOLOMON,28 DEC 1984,USA,1f1,,"Walnut, CA (USA)",2016-04-16,1159,2016,105.47
4961,1:45.47,,Cornelius TUWEI,24 MAY 1993,KEN,2f1,,Karlstad (SWE),2018-07-25,1159,2018,105.47
4961,1:45.47,,Álvaro DE ARRIBA,02 JUN 1994,ESP,1,,Padova (ITA),2018-09-02,1159,2018,105.47
4961,1:45.47,,Wesley VÁZQUEZ,27 MAR 1994,PUR,3h5,,"Khalifa International Stadium, Doha (QAT)",2019-09-28,1159,2019,105.47
4961,1:45.47,,Wesley VÁZQUEZ,27 MAR 1994,PUR,2,,"Stadion Śląski, Chorzów (POL)",2020-09-06,1159,2020,105.47
4961,1:45.47,,Kameron JONES,12 NOV 1997,USA,1,,"Paul Derr TF Facility, Raleigh, NC (USA)",2021-05-15,1159,2021,105.47
4961,1:45.47,,Jake WIGHTMAN,11 JUL 1994,GBR,3f1,,"Mestský Stadion, Ostrava (CZE)",2021-05-19,1159,2021,105.47
4961,1:45.47,,Mohamed Ali GOUANED,05 JUL 2002,ALG,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",2021-05-28,1159,2021,105.47
4961,1:45.47,,Erik SOWINSKI,21 DEC 1989,USA,4h2,,"Hayward Field, Eugene, OR (USA)",2021-06-18,1159,2021,105.47
4961,1:45.47,,Emmanuel WANYONYI,01 AUG 2004,KEN,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2022-06-05,1159,2022,105.47
4961,1:45.47,,Oussama CHERRAD,06 MAR 2000,ALG,2,,"McArthur Stadium, Potchefstroom (RSA)",2024-03-14,1159,2024,105.47
4961,1:45.47,,Yanis MEZIANE,26 JAN 2002,FRA,4,,"Stade Josette et Roger Mikulak, Angers (FRA)",2024-06-30,1159,2024,105.47
5014,1:45.48,,José Luis BARBOSA,27 MAY 1961,BRA,1,,London (GBR),1985-07-14,1159,1985,105.47999999999999
5014,1:45.48,,Faouzi LAHBI,02 MAR 1958,MAR,3,,Hengelo (NED),1989-08-13,1159,1989,105.47999999999999
5014,1:45.48,,Ocky CLARK,14 NOV 1960,USA,3f2,,"Letzigrund, Zürich (SUI)",1989-08-16,1159,1989,105.47999999999999
5014,1:45.48,,Kipkemboi LAGAT,25 MAR 1968,KEN,5f1,,"Stadio Olimpico, Roma (ITA)",1995-06-08,1159,1995,105.47999999999999
5014,1:45.48,,Jose PARRILLA,31 MAR 1972,USA,1,,Stockholm (SWE),1995-07-10,1159,1995,105.47999999999999
5014,1:45.48,,Nico MOTCHEBON,13 NOV 1969,GER,9f1,,Oslo (NOR),1999-06-30,1159,1999,105.47999999999999
5014,1:45.48,,David KRUMMENACKER,24 MAY 1975,USA,4,,"Crystal Palace, London (GBR)",1999-08-07,1159,1999,105.47999999999999
5014,1:45.48,,Achraf TADILI,08 JUL 1980,CAN,1,,Edmonton (CAN),2001-06-24,1159,2001,105.47999999999999
5014,1:45.48,,Rui SILVA,03 AUG 1977,POR,6,,Madrid (ESP),2003-07-19,1159,2003,105.47999999999999
5014,1:45.48,,Hezekiel SEPENG,30 JUN 1974,RSA,1,,Cuxhaven (GER),2004-06-26,1159,2004,105.47999999999999
5014,1:45.48,,Manuel OLMEDO,17 MAY 1983,ESP,7f1,,Sevilla (ESP),2005-06-04,1159,2005,105.47999999999999
5014,1:45.48,,Alfred Kirwa YEGO,28 NOV 1986,KEN,3,,Oslo (NOR),2006-06-02,1159,2006,105.47999999999999
5014,1:45.48,,Nabil MADI,09 JUN 1981,ALG,2,,Algiers (ALG),2006-06-22,1159,2006,105.47999999999999
5014,1:45.48,,Sadjad MORADI,30 MAR 1983,IRI,1,,Algiers (ALG),2008-05-29,1159,2008,105.47999999999999
5014,1:45.48,,Nadjim MANSEUR,08 JUN 1988,ALG,5f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2008-09-02,1159,2008,105.47999999999999
5014,1:45.48,,Jeffrey RISELEY,11 NOV 1986,AUS,3f2,,Ostrava (CZE),2009-06-17,1159,2009,105.47999999999999
5014,1:45.48,,Richard KIPLAGAT,03 MAY 1984,KEN,4,,"Suhaim bin Hamad Stadium, Doha (QAT)",2011-05-06,1159,2011,105.47999999999999
5014,1:45.48,,Andreas BUBE,13 JUL 1987,DEN,6sf1,,"DS, Daegu (KOR)",2011-08-28,1159,2011,105.47999999999999
5014,1:45.48,,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,3,,Königs Wusterhausen (GER),2011-09-09,1159,2011,105.47999999999999
5014,1:45.48,,Adam KSZCZOT,02 SEP 1989,POL,1,,"Stadion Orzeł, Warszawa (POL)",2011-09-20,1159,2011,105.47999999999999
5014,1:45.48,,Anthony CHEMUT,17 DEC 1992,KEN,3,,Rabat (MAR),2013-06-09,1159,2013,105.47999999999999
5014,1:45.48,,Adam KSZCZOT,02 SEP 1989,POL,1,,Szczecin (POL),2014-06-07,1159,2014,105.47999999999999
5014,1:45.48,,David RUDISHA,17 DEC 1988,KEN,2,,"Hampden Park, Glasgow (GBR)",2014-07-31,1159,2014,105.47999999999999
5014,1:45.48,,Musaeb Abdulrahman BALLA,19 MAR 1989,QAT,1f1,,"Globe Arena, Stockholm (SWE) (i)",2015-02-19,1217,2015,105.47999999999999
5014,1:45.48,,Robin SCHEMBERA,01 OCT 1988,GER,2,,"FBK Stadium, Hengelo (NED)",2015-05-24,1159,2015,105.47999999999999
5014,1:45.48,,Timothy SEIN,01 FEB 1988,KEN,5,,Nairobi (KEN),2016-05-28,1159,2016,105.47999999999999
5014,1:45.48,,Brandon MCBRIDE,15 JUN 1994,CAN,1sf1,,"Eugene, OR (USA)",2016-06-08,1159,2016,105.47999999999999
5014,1:45.48,,Charles JOCK,23 NOV 1989,USA,3,,"Hayward Field, Eugene, OR (USA)",2016-07-04,1159,2016,105.47999999999999
5014,1:45.48,,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1159,2016,105.47999999999999
5014,1:45.48,,Erik SOWINSKI,21 DEC 1989,USA,1sf1,,"Sacramento, CA (USA)",2017-06-23,1159,2017,105.47999999999999
5014,1:45.48,,Adam KSZCZOT,02 SEP 1989,POL,3,,"Stadion Śląski, Chorzów (POL)",2018-08-22,1159,2018,105.47999999999999
5014,1:45.48,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,8,,"Stade Louis II, Monaco (MON)",2020-08-14,1159,2020,105.47999999999999
5014,1:45.48,,Peter BOL,22 FEB 1994,AUS,1,,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",2021-03-27,1159,2021,105.47999999999999
5014,1:45.48,,Amel TUKA,09 JAN 1991,BIH,2h2,,"National Stadium, Tokyo (JPN)",2021-07-31,1159,2021,105.47999999999999
5014,1:45.48,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1159,2021,105.47999999999999
5014,1:45.48,,Kacper LEWALSKI,07 MAY 2003,POL,7,,"Stadion Śląski, Chorzów (POL)",2022-06-05,1159,2022,105.47999999999999
5014,1:45.48,,Elias NGENY,04 MAY 1996,KEN,6,,"Stadio Quercia, Rovereto (ITA)",2022-08-30,1159,2022,105.47999999999999
5014,1:45.48,,Francesco PERNICI,18 FEB 2003,ITA,1f2,,"Centro Sportivo Saletti, Nembro (ITA)",2023-07-01,1159,2023,105.47999999999999
