Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
7044,2:00.71,,Tamsyn MANOU,20 JUL 1978,AUS,1,,Brisbane (AUS),2007-03-11,1150,2007,120.71
7044,2:00.71,,Svetlana USOVICH,14 OCT 1980,BLR,1,,"Olympiastadion, München (GER)",2007-06-23,1150,2007,120.71
7044,2:00.71,,Yuliya KREVSUN,08 DEC 1980,UKR,1sf1,,Bangkok (THA),2007-08-13,1150,2007,120.71
7044,2:00.71,,Mihaela STĂNCESCU-NEACŞU,03 MAY 1979,ROU,3,,Kalamata (GRE),2008-06-04,1150,2008,120.71
7044,2:00.71,,Anna ROSTKOWSKA,26 JUL 1980,POL,1f1,,Warszawa (POL),2008-06-15,1150,2008,120.71
7044,2:00.71,,Irina KRAKOVIAK,16 NOV 1977,LTU,6,,Ostrava (CZE),2009-06-17,1150,2009,120.71
7044,2:00.71,,Jana HARTMANN,23 MAY 1981,GER,6,,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",2009-06-20,1150,2009,120.71
7044,2:00.71,,Jennifer MEADOWS,17 APR 1981,GBR,2f1,,Moskva (RUS) (i),2010-02-07,1174,2010,120.71
7044,2:00.71,,Anastasiya VOLODKINA,15 JUL 1988,RUS,3,,Cheboksary (RUS),2010-07-03,1150,2010,120.71
7044,2:00.71,,Yuneysi SANTIUSTI,24 DEC 1984,CUB,1,,Reims (FRA),2012-07-04,1150,2012,120.71
7044,2:00.71,,Caster SEMENYA,07 JAN 1991,RSA,2h1,,"Olympic Stadium, London (GBR)",2012-08-08,1150,2012,120.71
7044,2:00.71,,Jess JUDD,07 JAN 1995,GBR,1,,Loughborough (GBR),2013-05-19,1150,2013,120.71
7044,2:00.71,,Marina ARZAMASOVA,17 DEC 1987,BLR,1,,"Le Grand Stade, Marrakech (MAR)",2014-06-08,1150,2014,120.71
7044,2:00.71,,Alison LEONARD,17 MAR 1990,GBR,1f1,,Oordegem (BEL),2016-05-29,1150,2016,120.71
7044,2:00.71,,Malika AKKAOUI,25 DEC 1987,MAR,1,,Abidjan (CIV),2017-07-24,1150,2017,120.71
7044,2:00.71,,Noélie YARIGO,26 DEC 1985,BEN,4,,Rovereto (ITA),2018-08-23,1150,2018,120.71
7044,2:00.71,,Nia AKINS,07 JUL 1998,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2020-02-14,1174,2020,120.71
7044,2:00.71,,Christina HERING,09 OCT 1994,GER,5f3,,"Stadio Giuseppe Grezar, Trieste (ITA)",2020-08-01,1150,2020,120.71
7044,2:00.71,,Allie WILSON,31 MAR 1996,USA,2h3,,"Hayward Field, Eugene, OR (USA)",2021-06-24,1150,2021,120.71
7044,2:00.71,,Elena BELLÒ,18 JAN 1997,ITA,4f1,,"Stade Sottevillais 76, Sotteville-lès-Rouen (FRA)",2021-07-11,1150,2021,120.71
7044,2:00.71,,Rose Mary ALMANZA,13 JUL 1992,CUB,1h5,,"National Stadium, Tokyo (JPN)",2021-07-30,1150,2021,120.71
7044,2:00.71,,Rénelle LAMOTE,26 DEC 1993,FRA,1h4,,"Hayward Field, Eugene, OR (USA)",2022-07-21,1150,2022,120.71
7044,2:00.71,,Charne SWART,02 JAN 2002,RSA,2f3,,"University of the Western Cape, Cape Town (RSA)",2024-04-29,1150,2024,120.71
7086,2:00.72,,Ursula HOOK,17 AUG 1957,FRG,7,,Torino (ITA),1979-08-04,1149,1979,120.72
7086,2:00.72,,Doina MELINTE,27 DEC 1956,ROU,6sf1,,"Lenin Stadium, Moskva (URS)",1980-07-25,1149,1980,120.72
7086,2:00.72,,Ellen KIEßLING,17 FEB 1968,GER,6,,Stockholm (SWE),1991-07-03,1149,1991,120.72
7086,2:00.72,,Toni HODGKINSON,21 DEC 1971,NZL,1,,Melbourne (AUS),1996-02-29,1149,1996,120.72
7086,2:00.72,,Natalya DUKHNOVA,16 JUL 1966,BLR,2,,Villeneuve d'Ascq (FRA),1996-05-25,1149,1996,120.72
7086,2:00.72,,Ludmila FORMANOVÁ,02 JAN 1974,CZE,4,,Liévin (FRA) (i),1998-02-22,1174,1998,120.72
7086,2:00.72,,Irina LISHCHINSKA,15 JAN 1976,UKR,2,,Belaya Tserkva (UKR),1999-07-25,1149,1999,120.72
7086,2:00.72,,Irina MISTYUKEVICH,17 JUN 1977,RUS,6,,"Crystal Palace, London (GBR)",2001-07-22,1149,2001,120.72
7086,2:00.72,,Diane CUMMINS,19 JAN 1974,CAN,2,,"Portland, OR (USA)",2002-05-18,1149,2002,120.72
7086,2:00.72,,Mayte MARTÍNEZ,17 MAY 1976,ESP,2sf2,,"Olympiastadion, München (GER)",2002-08-07,1149,2002,120.72
7086,2:00.72,,Svetlana CHERKASOVA,20 MAY 1978,RUS,5,,"CM, Madrid (ESP)",2002-09-20,1149,2002,120.72
7086,2:00.72,,Svetlana KLYUKA,27 DEC 1978,RUS,4,,Moskva (RUS) (i),2003-02-26,1174,2003,120.72
7086,2:00.72,,Maria CIONCAN,19 JUN 1977,ROU,5sf2,,"Stade de France, Paris-St-Denis (FRA)",2003-08-24,1149,2003,120.72
7086,2:00.72,,Olga RASPOPOVA,27 DEC 1978,RUS,8f3,,Kazan (RUS),2004-07-09,1149,2004,120.72
7086,2:00.72,,Elisabeth GROUSSELLE,06 FEB 1973,FRA,1,,Villeneuve d'Ascq (FRA),2005-06-12,1149,2005,120.72
7086,2:00.72,,Diane CUMMINS,19 JAN 1974,CAN,6,,"Olympic Stadium, Athina (GRE)",2005-06-14,1149,2005,120.72
7086,2:00.72,,Natalya TSYGANOVA,07 FEB 1971,RUS,9,,"Stade de France, Paris-St-Denis (FRA)",2005-07-01,1149,2005,120.72
7086,2:00.72,,Diane CUMMINS,19 JAN 1974,CAN,3,,Tallinn (EST),2005-08-16,1149,2005,120.72
7086,2:00.72,,Frances SANTIN,27 JUL 1980,USA,4,,Heusden-Zolder (BEL),2006-07-22,1149,2006,120.72
7086,2:00.72,,Monika GRADZKI-MERL,21 SEP 1979,GER,9,,"Olympiastadion, Berlin (GER)",2008-06-01,1149,2008,120.72
7086,2:00.72,,Mariya SAVINOVA,13 AUG 1985,RUS,4,,Thessaloniki (GRE),2009-09-13,1149,2009,120.72
7086,2:00.72,,Fabienne KOHLMANN,06 NOV 1989,GER,1,,Dessau (GER),2010-05-28,1149,2010,120.72
7086,2:00.72,,Irina MARACHEVA,24 SEP 1984,RUS,3,,Velenje (SLO),2010-07-01,1149,2010,120.72
7086,2:00.72,,Lenka MASNÁ,22 APR 1985,CZE,1,,"Crystal Palace, London (GBR)",2010-08-13,1149,2010,120.72
7086,2:00.72,,Christin WURTH-THOMAS,11 JUL 1980,USA,1f1,,"Palo Alto, CA (USA)",2011-05-01,1149,2011,120.72
7086,2:00.72,,Erica MOORE,25 MAR 1988,USA,5,,"Icahn Stadium, New York, NY (USA)",2012-06-09,1149,2012,120.72
7086,2:00.72,,Jemma SIMPSON,10 FEB 1984,GBR,4,,Lignano Sabbiadoro (ITA),2012-07-17,1149,2012,120.72
7086,2:00.72,,Malika AKKAOUI,25 DEC 1987,MAR,1,,Mersin (TUR),2013-06-29,1149,2013,120.72
7086,2:00.72,,Melissa BISHOP-NRIAGU,05 AUG 1988,CAN,7,,"Olympic Stadium, London (GBR)",2013-07-26,1149,2013,120.72
7086,2:00.72,,Marina ARZAMASOVA,17 DEC 1987,BLR,7,,"Stadio Olimpico, Roma (ITA)",2014-06-05,1149,2014,120.72
7086,2:00.72,,Agatha JERUTO,02 APR 1994,KEN,4,,"Olympiastadion, Berlin (GER)",2014-08-31,1149,2014,120.72
7086,2:00.72,,Rénelle LAMOTE,26 DEC 1993,FRA,2,,Montreuil-sous-Bois (FRA),2015-06-09,1149,2015,120.72
7086,2:00.72,,Anastasiya RYEMYEN,20 APR 1993,UKR,3,,"Olympic Stadium, Cheboksary (RUS)",2015-06-20,1149,2015,120.72
7086,2:00.72,,Caster SEMENYA,07 JAN 1991,RSA,1,,Linz (AUT),2015-08-01,1149,2015,120.72
7086,2:00.72,,Angelika CICHOCKA,15 MAR 1988,POL,3,,Mungyeong (KOR),2015-10-05,1149,2015,120.72
7086,2:00.72,,Laura ROESLER,19 DEC 1991,USA,1f5,,"Waco, TX (USA)",2016-04-23,1149,2016,120.72
7086,2:00.72,,Joanna JÓŹWIK,30 JAN 1991,POL,8f1,,"Stadio Olimpico, Roma (ITA)",2016-06-02,1149,2016,120.72
7086,2:00.72,,Sabrina SOUTHERLAND,18 DEC 1995,USA,1qf3,,"Sacramento, CA (USA)",2018-05-25,1149,2018,120.72
7086,2:00.72,,Anna SABAT,09 NOV 1993,POL,2,,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",2018-08-15,1149,2018,120.72
7086,2:00.72,,Lovisa LINDH,09 JUL 1991,SWE,2f1,,Varberg (SWE),2019-07-15,1149,2019,120.72
7086,2:00.72,,Olha LYAKHOVA,18 MAR 1992,UKR,3sf1,,"Khalifa International Stadium, Doha (QAT)",2019-09-28,1149,2019,120.72
7086,2:00.72,,Hedda HYNNE,13 MAR 1990,NOR,2,,"Stadion Wankdorf, Bern (SUI)",2020-07-24,1149,2020,120.72
7086,2:00.72,,Georgia GRIFFITH,05 DEC 1996,AUS,1f1,,"Atletiekbaan Brakkenstein, Nijmegen (NED)",2022-05-28,1149,2022,120.72
7086,2:00.72,,Prudence SEKGODISO,05 JAN 2002,RSA,1,,"Stade des Grands Pêchers, Montreuil (FRA)",2023-05-31,1149,2023,120.72
7086,2:00.72,,Majtie KOLBERG,05 DEC 1999,GER,3f1,,"Stadion Śląski, Chorzów (POL)",2023-06-24,1149,2023,120.72
7086,2:00.72,,Valentina ROSAMILIA,27 JAN 2003,SUI,4f1,,"Stade Omnisports Schlossberg, Forbach (FRA)",2024-05-26,1149,2024,120.72
7132,2:00.73,,Antje SCHRÖDER,02 SEP 1963,GDR,2,,Karl Marx Stadt (GDR),1983-06-17,1149,1983,120.73
7132,2:00.73,,Brigitte KRAUS,12 AUG 1956,FRG,4,,Zürich (SUI),1983-08-24,1149,1983,120.73
7132,2:00.73,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Sofia (BUL),1987-05-30,1149,1987,120.73
7132,2:00.73,,Mitica CONSTANTIN,18 AUG 1962,ROU,3,,Lausanne (SUI),1987-09-15,1149,1987,120.73
7132,2:00.73,,Julie JENKINS,12 AUG 1964,USA,2,,Athina (GRE),1988-09-03,1149,1988,120.73
7132,2:00.73,,Nadezhda OLIZARENKO,28 NOV 1953,URS,2,,Stockholm (SWE),1989-07-03,1149,1989,120.73
7132,2:00.73,,Christine WACHTEL,06 JAN 1965,GDR,1,,Karlsruhe (GER) (i),1990-02-11,1174,1990,120.73
7132,2:00.73,,Christine WACHTEL,06 JAN 1965,GDR,1,,Wien (AUT) (i),1990-02-21,1174,1990,120.73
7132,2:00.73,,Dalia MATUSEVIČIENĖ,12 NOV 1962,URS,5,,Barcelona (ESP),1990-07-16,1149,1990,120.73
7132,2:00.73,,Kelly HOLMES,19 APR 1970,GBR,1,,"Crystal Palace, London (GBR)",1993-07-23,1149,1993,120.73
7132,2:00.73,,Anneke MATTHYS,08 MAR 1969,BEL,4,,Hechtel (BEL),1994-07-30,1149,1994,120.73
7132,2:00.73,,Tanna BI,21 JAN 1978,CHN,2,,Nanjing (CHN),1996-05-05,1149,1996,120.73
7132,2:00.73,,Carmen STANCIU,05 JAN 1970,ROU,1,,Sofia (BUL),1996-05-25,1149,1996,120.73
7132,2:00.73,,Larisa MIKHAYLOVA,03 JAN 1969,RUS,1,,Moskva (RUS),1997-07-20,1149,1997,120.73
7132,2:00.73,,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,4,,St-Denis (FRA),1998-06-04,1149,1998,120.73
7132,2:00.73,,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",1999-07-02,1149,1999,120.73
7132,2:00.73,,Yuliya TARANOVA,15 FEB 1977,RUS,sf,,Palma de Mallorca (ESP),1999-07-10,1149,1999,120.73
7132,2:00.73,,Claudia GESELL,18 DEC 1977,GER,1,,Cuxhaven (GER),2000-07-19,1149,2000,120.73
7132,2:00.73,,Tina PAULINO,07 JUL 1973,MOZ,1,,Rovereto (ITA),2001-08-29,1149,2001,120.73
7132,2:00.73,,Tamsyn MANOU,20 JUL 1978,AUS,3,,Manchester (GBR),2002-06-16,1149,2002,120.73
7132,2:00.73,,Lucia KLOCOVÁ,20 NOV 1983,SVK,6sf2,,"Stade de France, Paris-St-Denis (FRA)",2003-08-24,1149,2003,120.73
7132,2:00.73,,Maria PAPADOPOULOU,15 DEC 1974,GRE,11f1,,"Stadio Olimpico, Roma (ITA)",2005-07-08,1149,2005,120.73
7132,2:00.73,,Kenia SINCLAIR,14 JUL 1980,JAM,3,,Oslo (NOR),2006-06-02,1149,2006,120.73
7132,2:00.73,,Lucia KLOCOVÁ,20 NOV 1983,SVK,1,,Banská Bystrica (SVK),2006-06-17,1149,2006,120.73
7132,2:00.73,,Liliana BARBULESCU-POPESCU,05 FEB 1982,ROU,3h4,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-25,1149,2007,120.73
7132,2:00.73,,Maggie VESSEY,23 DEC 1981,USA,9,,"Stadio Olimpico, Roma (ITA)",2010-06-10,1149,2010,120.73
7132,2:00.73,,Yekaterina ZAVYALOVA,01 MAR 1991,RUS,1h2,,Moskva (RUS) (i),2012-02-22,1174,2012,120.73
7132,2:00.73,,Molly LUDLOW,04 AUG 1987,USA,3,,Linz (AUT),2012-08-20,1149,2012,120.73
7132,2:00.73,,Melissa BISHOP-NRIAGU,05 AUG 1988,CAN,3f1,,"Los Angeles, CA (USA)",2014-05-15,1149,2014,120.73
7132,2:00.73,,Malika AKKAOUI,25 DEC 1987,MAR,2,,"Shanghai Stadium, Shanghai (CHN)",2015-05-17,1149,2015,120.73
7132,2:00.73,,Rababe ARAFI,12 JAN 1991,MAR,4,,"Olympiastadion, Stockholm (SWE)",2015-07-30,1149,2015,120.73
7132,2:00.73,,Natoya GOULE,30 MAR 1991,JAM,4,,"Somerville, MA (USA)",2016-06-17,1149,2016,120.73
7132,2:00.73,,Shelayna OSKAN-CLARKE,20 JAN 1990,GBR,2,,Heusden-Zolder (BEL),2016-07-16,1149,2016,120.73
7132,2:00.73,,Shelayna OSKAN-CLARKE,20 JAN 1990,GBR,1,,Montreuil-sous-Bois (FRA),2017-06-01,1149,2017,120.73
7132,2:00.73,,Angela PETTY,16 AUG 1991,NZL,f1,,Gold Coast (AUS),2018-02-18,1149,2018,120.73
7132,2:00.73,,Georgia GRIFFITH,05 DEC 1996,AUS,3h3,,Gold Coast (AUS),2018-04-12,1149,2018,120.73
7132,2:00.73,,Joanna JÓŹWIK,30 JAN 1991,POL,3,,"Golęcin Stadion, Poznan (POL)",2021-06-26,1149,2021,120.73
7132,2:00.73,,Christina HERING,09 OCT 1994,GER,1,,"Olympiastadion, Berlin (GER)",2022-06-26,1149,2022,120.73
7132,2:00.73,,Christina HERING,09 OCT 1994,GER,5,,"Stadio Colbachini, Padova (ITA)",2023-09-03,1149,2023,120.73
7132,2:00.73,,Lorea IBARZABAL,07 NOV 1994,ESP,6sf2,,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-02,1174,2024,120.73
7132,2:00.73,,Samantha WATSON,10 NOV 1999,USA,1f2,,"Drake Stadium, Los Angeles, CA (USA)",2024-05-17,1149,2024,120.73
7132,2:00.73,,Olivia BAKER,12 JUN 1996,USA,2,,"Icahn Stadium, New York, NY (USA)",2024-06-09,1149,2024,120.73
7132,2:00.73,,Anita HORVAT,07 SEP 1996,SLO,4h4,,"Stadio Olimpico, Roma (ITA)",2024-06-10,1149,2024,120.73
7175,2:00.74,,Fita LOVIN,14 JAN 1951,ROU,1h,,Sofia (BUL) (i),1982-02-13,1173,1982,120.74
7175,2:00.74,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,2,,Třinec (TCH),1987-08-16,1149,1987,120.74
7175,2:00.74,,Liliya NURUTDINOVA,15 DEC 1963,URS,4,,Moskva (URS) (i),1990-02-24,1173,1990,120.74
7175,2:00.74,,Meredith RAINEY-VALMON,15 OCT 1968,USA,4,,Berlin (GER),1990-07-04,1149,1990,120.74
7175,2:00.74,,Carla SACRAMENTO,10 DEC 1971,POR,2,,Köln (GER),1993-08-01,1149,1993,120.74
7175,2:00.74,,Anita BRÄGGER,06 OCT 1972,SUI,10,,Zürich (SUI),1997-08-13,1149,1997,120.74
7175,2:00.74,,Stephanie GRAF,26 APR 1973,AUT,7,,"FBK Stadium, Hengelo (NED)",1998-06-01,1149,1998,120.74
7175,2:00.74,,Julia SAKARA,12 JUL 1969,ZIM,3,,Stuttgart (GER),1998-07-19,1149,1998,120.74
7175,2:00.74,,Joetta CLARK,01 AUG 1962,USA,4,,"Eugene, OR (USA)",1999-06-27,1149,1999,120.74
7175,2:00.74,,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,6,,"Stade Olympique de la Pontaise, Lausanne (SUI)",1999-07-02,1149,1999,120.74
7175,2:00.74,,Linda KISABAKA,09 APR 1969,GER,1,,Hechtel (BEL),1999-08-07,1149,1999,120.74
7175,2:00.74,,Claudia GESELL,18 DEC 1977,GER,10,,"Olympiastadion, Berlin (GER)",1999-09-07,1149,1999,120.74
7175,2:00.74,,Faith MACHARIA,09 FEB 1976,KEN,1,,Lappeenranta (FIN),2002-08-18,1149,2002,120.74
7175,2:00.74,,Akosua SERWAH,03 JAN 1981,GHA,1,,Cuxhaven (GER),2003-07-19,1149,2003,120.74
7175,2:00.74,,Tatyana ANDRIANOVA,10 DEC 1979,RUS,1,,Warszawa (POL),2004-06-13,1149,2004,120.74
7175,2:00.74,,Mina AIT HAMMOU,18 JUL 1978,MAR,7,,"Olympic Stadium, Athina (GRE)",2005-06-14,1149,2005,120.74
7175,2:00.74,,Natalya TSYGANOVA,07 FEB 1971,RUS,1h3,,Tula (RUS),2005-07-10,1149,2005,120.74
7175,2:00.74,,Elisabeth GROUSSELLE,06 FEB 1973,FRA,4,,"Olimpiyskiy Stadion, Moskva (RUS) (i)",2006-03-12,1173,2006,120.74
7175,2:00.74,,Jennifer MEADOWS,17 APR 1981,GBR,1,,Swansea (GBR),2006-07-02,1149,2006,120.74
7175,2:00.74,,Seltana AIT HAMMOU,21 MAY 1980,MAR,6h5,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-25,1149,2007,120.74
7175,2:00.74,,Jennifer MEADOWS,17 APR 1981,GBR,1,,"National Indoor Arena, Birmingham (GBR) (i)",2008-02-16,1173,2008,120.74
7175,2:00.74,,Hind DEHIBA CHAHYD,17 MAR 1979,FRA,2,,Casablanca (MAR),2009-06-14,1149,2009,120.74
7175,2:00.74,,Yevgeniya ZINUROVA,16 NOV 1982,RUS,1h6,,Moskva (RUS) (i),2010-02-26,1173,2010,120.74
7175,2:00.74,,Tatyana ANDRIANOVA,10 DEC 1979,RUS,3,,Moskva (RUS),2010-06-29,1149,2010,120.74
7175,2:00.74,,Jennifer MEADOWS,17 APR 1981,GBR,3,,"Stade de France, Paris-St-Denis (FRA)",2011-07-08,1149,2011,120.74
7175,2:00.74,,Marilyn OKORO,23 SEP 1984,GBR,2sf1,,Birmingham (GBR),2011-07-30,1149,2011,120.74
7175,2:00.74,,Yuneysi SANTIUSTI,24 DEC 1984,CUB,3,,Milano (ITA),2011-09-18,1149,2011,120.74
7175,2:00.74,,Lydia WAFULA,15 FEB 1988,KEN,4,,Nairobi (KEN),2012-06-23,1149,2012,120.74
7175,2:00.74,,Marina ARZAMASOVA,17 DEC 1987,BLR,,,Albi (FRA),2012-08-15,1149,2012,120.74
7175,2:00.74,,Caster SEMENYA,07 JAN 1991,RSA,5,,"Sports Park Mladost, Zagreb (CRO)",2013-09-03,1149,2013,120.74
7175,2:00.74,,Rose Mary ALMANZA,13 JUL 1992,CUB,8,,"Stadio Olimpico, Roma (ITA)",2014-06-05,1149,2014,120.74
7175,2:00.74,,Joanna JÓŹWIK,30 JAN 1991,POL,3,,"Alexander Stadium, Birmingham (GBR)",2015-06-07,1149,2015,120.74
7175,2:00.74,,Angela PETTY,16 AUG 1991,NZL,1sf2,,"Main Stadium, Gwangju (KOR)",2015-07-09,1149,2015,120.74
7175,2:00.74,,Jennifer MEADOWS,17 APR 1981,GBR,4,,Bellinzona (SUI),2016-06-06,1149,2016,120.74
7175,2:00.74,,Selina BÜCHEL,26 JUL 1991,SUI,5,,Bellinzona (SUI),2016-06-06,1149,2016,120.74
7175,2:00.74,,Sanne VERSTEGEN-WOLTERS,10 NOV 1985,NED,1f1,,Sollentuna (SWE),2016-06-28,1149,2016,120.74
7175,2:00.74,,Sanne VERSTEGEN-WOLTERS,10 NOV 1985,NED,3f1,,Oordegem (BEL),2017-05-27,1149,2017,120.74
7175,2:00.74,,Natoya GOULE,30 MAR 1991,JAM,2h2,,Gold Coast (AUS),2018-04-12,1149,2018,120.74
7175,2:00.74,,Brenda MARTINEZ,08 SEP 1987,USA,6,,"Bislett Stadion, Oslo (NOR)",2018-06-07,1149,2018,120.74
7175,2:00.74,,Katharina TROST,28 JUN 1995,GER,1f2,,Rehlingen (GER),2019-06-09,1149,2019,120.74
7175,2:00.74,,Lindsey BUTTERWORTH,27 SEP 1992,CAN,4sf1,,"Khalifa International Stadium, Doha (QAT)",2019-09-28,1149,2019,120.74
7175,2:00.74,,Juliette WHITTAKER,01 DEC 2003,USA,2h3,,"Hayward Field, Eugene, OR (USA)",2023-07-06,1149,2023,120.74
7217,2:00.75,,Astrid PFEIFFER,06 DEC 1964,GDR,4,,Jena (GDR),1983-05-28,1149,1983,120.75
7217,2:00.75,,Yanka DIMOVA,27 JAN 1959,BUL,7,,Praha (TCH),1984-08-17,1149,1984,120.75
7217,2:00.75,,Rose MONDAY,07 AUG 1959,USA,4,,San José (USA),1987-05-30,1149,1987,120.75
7217,2:00.75,,Ella KOVÁCS,11 DEC 1964,ROU,3,,Bucureşti (ROU),1988-06-19,1149,1988,120.75
7217,2:00.75,,Christine WACHTEL,06 JAN 1965,GDR,2,,Wattenscheid (GER),1990-07-06,1149,1990,120.75
7217,2:00.75,,Aurica MITREA,19 OCT 1959,ROU,6sf2,,"Poljud Stadion, Split (CRO)",1990-08-28,1149,1990,120.75
7217,2:00.75,,Maria AKRAKA,07 JUL 1966,SWE,6,,Roma (ITA),1991-07-17,1149,1991,120.75
7217,2:00.75,,Alisa HILL-HARVEY,16 SEP 1965,USA,5,,Rieti (ITA),1991-09-06,1149,1991,120.75
7217,2:00.75,,Theresia KIESL,26 OCT 1963,AUT,3f2,,Zürich (SUI),1993-08-04,1149,1993,120.75
7217,2:00.75,,Tina PAULINO,07 JUL 1973,MOZ,4h2,,"Ullevi Stadium, Göteborg (SWE)",1995-08-10,1149,1995,120.75
7217,2:00.75,,Letitia VRIESDE,05 OCT 1964,SUR,4,,Helsinki (FIN),1997-06-18,1149,1997,120.75
7217,2:00.75,,Nouria MÉRAH-BENIDA,19 OCT 1970,ALG,2,,Dortmund (GER) (i),1999-02-13,1173,1999,120.75
7217,2:00.75,,Letitia VRIESDE,05 OCT 1964,SUR,2,,Gent (BEL) (i),1999-02-19,1173,1999,120.75
7217,2:00.75,,Meredith RAINEY-VALMON,15 OCT 1968,USA,4sf1,,"Green Dome, Maebashi (JPN) (i)",1999-03-06,1173,1999,120.75
7217,2:00.75,,Heike MEISSNER,29 JAN 1970,GER,1,,Karlsruhe (GER) (i),2001-01-27,1173,2001,120.75
7217,2:00.75,,Tina PAULINO,07 JUL 1973,MOZ,4,,Rieti (ITA),2001-09-02,1149,2001,120.75
7217,2:00.75,,Olga RASPOPOVA,27 DEC 1978,RUS,7,,Tula (RUS),2003-08-09,1149,2003,120.75
7217,2:00.75,,Nicole COOK,16 DEC 1982,USA,1,,"Fayetteville, AR (USA) (i)",2005-02-27,1173,2005,120.75
7217,2:00.75,,Aleksandra PROSHINA,17 MAR 1981,RUS,1,,Tula (RUS),2005-07-23,1149,2005,120.75
7217,2:00.75,,Svetlana CHERKASOVA,20 MAY 1978,RUS,1,,Gent (BEL) (i),2006-02-26,1173,2006,120.75
7217,2:00.75,,Hazel CLARK,03 OCT 1977,USA,9f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,1149,2006,120.75
7217,2:00.75,,Ewelina SĘTOWSKA-DRYK,05 MAR 1980,POL,4,,Stockholm (SWE) (i),2008-02-21,1173,2008,120.75
7217,2:00.75,,Morgan UCENY,10 MAR 1985,USA,3sf1,,"Drake Stadium, Des Moines, IA (USA)",2010-06-25,1149,2010,120.75
7217,2:00.75,,Christin WURTH-THOMAS,11 JUL 1980,USA,4,,"International Stadium, Gateshead (GBR)",2010-07-10,1149,2010,120.75
7217,2:00.75,,Elisa CUSMA,24 JUL 1981,ITA,2,,Annecy (FRA),2010-09-11,1149,2010,120.75
7217,2:00.75,,Tatyana DUDCHENKO,18 NOV 1983,RUS,1f5,,Moskva (RUS) (i),2011-01-30,1173,2011,120.75
7217,2:00.75,,Yekaterina ZAVYALOVA,01 MAR 1991,RUS,1,,Vila Real de Santo António (POR),2012-05-26,1149,2012,120.75
7217,2:00.75,,Olha LYAKHOVA,18 MAR 1992,UKR,3,,Kirovograd (UKR),2015-08-01,1149,2015,120.75
7217,2:00.75,,Rénelle LAMOTE,26 DEC 1993,FRA,6,,"Letzigrund, Zürich (SUI)",2015-09-03,1149,2015,120.75
7217,2:00.75,,Raevyn ROGERS,07 SEP 1996,USA,1,,"Eugene, OR (USA)",2016-06-11,1149,2016,120.75
7217,2:00.75,,Natoya GOULE,30 MAR 1991,JAM,1f1,,"Coral Gables, FL (USA)",2017-03-25,1149,2017,120.75
7217,2:00.75,,Olha LYAKHOVA,18 MAR 1992,UKR,1,,"Stadion Juliska, Praha (CZE)",2017-06-05,1149,2017,120.75
7217,2:00.75,,Margaret Nyairera WAMBUI,15 SEP 1995,KEN,1h4,,"Olympic Stadium, London (GBR)",2017-08-10,1149,2017,120.75
7217,2:00.75,,Claudia SAUNDERS,19 MAY 1994,FRA,2f1,,"Nashville, TN (USA)",2018-06-02,1149,2018,120.75
7217,2:00.75,,Selina BÜCHEL,26 JUL 1991,SUI,12,,"Stade Louis II, Monaco (MON)",2018-07-20,1149,2018,120.75
7217,2:00.75,,Raevyn ROGERS,07 SEP 1996,USA,4,,Toronto (CAN),2018-08-11,1149,2018,120.75
7217,2:00.75,,Līga VELVERE,10 FEB 1990,LAT,5,,Rovereto (ITA),2018-08-23,1149,2018,120.75
7217,2:00.75,,Noélie YARIGO,26 DEC 1985,BEN,5sf3,,"Khalifa International Stadium, Doha (QAT)",2019-09-28,1149,2019,120.75
7217,2:00.75,,Christina HERING,09 OCT 1994,GER,4,,"Stadio Olimpico, Roma (ITA)",2020-09-17,1149,2020,120.75
7217,2:00.75,,Michaela MEYER,04 JUL 1998,USA,3h3,,"Hayward Field, Eugene, OR (USA)",2021-06-24,1149,2021,120.75
7217,2:00.75,,Raevyn ROGERS,07 SEP 1996,USA,1h5,,"Hayward Field, Eugene, OR (USA)",2021-06-24,1149,2021,120.75
7217,2:00.75,,Sara KUIVISTO,17 AUG 1991,FIN,2f1,,"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",2021-06-26,1149,2021,120.75
7217,2:00.75,,Gaia SABBATINI,10 JUN 1999,ITA,2f2,,"Stadio Quercia, Rovereto (ITA)",2021-06-26,1149,2021,120.75
7217,2:00.75,,Meghan HUNTER,31 MAY 2001,USA,2f1,,"Lincoln HS, Portland, OR (USA)",2024-06-09,1149,2024,120.75
